iter	Passed	Remaining
757	1042	332
758	1044	331
759	1045	330
760	1046	328
761	1047	327
762	1048	325
763	1049	324
764	1051	322
765	1052	321
766	1054	320
767	1055	318
768	1056	317
769	1058	316
770	1059	314
771	1060	313
772	1061	311
773	1062	310
774	1064	308
775	1065	307
776	1067	306
777	1068	304
778	1069	303
779	1070	301
780	1071	300
781	1072	298
782	1073	297
783	1074	296
784	1076	294
785	1078	293
786	1079	292
787	1080	290
788	1081	289
789	1082	287
790	1083	286
791	1084	284
792	1086	283
793	1087	282
794	1088	280
795	1089	279
796	1091	277
797	1092	276
798	1093	275
799	1095	273
800	1096	272
801	1097	271
802	1099	269
803	1100	268
804	1101	266
805	1102	265
806	1104	264
807	1106	262
808	1107	261
809	1109	260
810	1110	258
811	1112	257
812	1113	256
813	1114	254
814	1115	253
815	1116	251
816	1118	250
817	1119	249
818	1120	247
819	1122	246
820	1123	245
821	1124	243
822	1126	242
823	1127	240
824	1129	239
825	1130	238
826	1132	236
827	1133	235
828	1134	234
829	1135	232
830	1136	231
831	1137	229
832	1139	228
833	1140	226
834	1141	225
835	1143	224
836	1144	222
837	1145	221
838	1146	220
839	1147	218
840	1149	217
841	1150	215
842	1151	214
843	1152	212
844	1153	211
845	1154	210
846	1155	208
847	1156	207
848	1157	205
849	1158	204
850	1160	203
851	1161	201
852	1162	200
853	1163	198
854	1165	197
855	1166	196
856	1167	194
857	1169	193
858	1170	192
859	1171	190
860	1172	189
861	1173	187
862	1174	186
863	1176	185
864	1177	183
865	1178	182
866	1179	180
867	1181	179
868	1183	178
869	1184	176
870	1185	175
871	1186	174
872	1188	172
873	1189	171
874	1190	170
875	1192	168
876	1193	167
877	1194	166
878	1195	164
879	1197	163
880	1198	161
881	1199	160
882	1200	159
883	1202	157
884	1203	156
885	1205	155
886	1206	153
887	1207	152
888	1208	150
889	1209	149
890	1210	148
891	1212	146
892	1213	145
893	1214	144
894	1215	142
895	1216	141
896	1217	139
897	1218	138
898	1220	137
899	1221	135
900	1222	134
901	1224	132
902	1225	131
903	1226	130
904	1227	128
905	1229	127
906	1230	126
907	1231	124
908	1232	123
909	1234	122
910	1237	120
911	1238	119
912	1239	118
913	1240	116
914	1241	115
915	1243	113
916	1244	112
917	1245	111
918	1246	109
919	1247	108
920	1248	107
921	1251	105
922	1252	104
923	1253	103
924	1254	101
925	1256	100
926	1259	99
927	1261	97
928	1262	96
929	1264	95
930	1265	93
931	1266	92
932	1268	91
933	1269	89
934	1270	88
935	1272	86
936	1273	85
937	1274	84
938	1276	82
939	1277	81
940	1279	80
941	1280	78
942	1281	77
943	1283	76
944	1284	74
945	1285	73
946	1286	72
947	1288	70
948	1289	69
949	1290	67
950	1292	66
951	1293	65
952	1294	63
953	1296	62
954	1297	61
955	1298	59
956	1299	58
957	1301	57
958	1302	55
959	1303	54
960	1304	52
961	1305	51
962	1307	50
963	1308	48
964	1309	47
965	1310	46
966	1311	44
967	1312	43
968	1313	42
969	1315	40
970	1316	39
971	1317	37
972	1318	36
973	1320	35
974	1321	33
975	1322	32
976	1324	31
977	1325	29
978	1326	28
979	1327	27
980	1329	25
981	1330	24
982	1331	23
983	1332	21
984	1333	20
985	1334	18
986	1335	17
987	1337	16
988	1338	14
989	1340	13
990	1341	12
991	1342	10
992	1344	9
993	1345	8
994	1347	6
995	1348	5
996	1349	4
997	1350	2
998	1352	1
999	1353	0
